Airline,Origin,Destination,Total_Delay,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
AA,CLT,RIC,7.12,35.2140007019043,-80.94309997558594,37.50519943237305,-77.3197021484375
AA,JFK,DFW,7.1,40.63980103,-73.77890015,32.896801,-97.038002
AA,CLT,PBI,7.1,35.2140007019043,-80.94309997558594,26.68320083618164,-80.09559631347656
AA,CLT,BWI,7.08,35.2140007019043,-80.94309997558594,39.1754,-76.668297
AA,LAX,OGG,7.08,33.94250107,-118.4079971,20.8986,-156.429993
AA,PHL,TPA,7.06,39.87189865112305,-75.24109649658203,27.975500106811523,-82.533203125
AA,DAY,DFW,7.04,39.902400970458984,-84.21939849853516,32.896801,-97.038002
AA,CLT,PVD,7.02,35.2140007019043,-80.94309997558594,41.732601,-71.420403
AA,STL,MIA,7.01,38.748697,-90.370003,25.79319953918457,-80.29060363769531
AA,CLT,SAV,7.01,35.2140007019043,-80.94309997558594,32.12760162,-81.20210266
AA,PHL,FLL,6.99,39.87189865112305,-75.24109649658203,26.072599,-80.152702
AA,LAX,MCI,6.95,33.94250107,-118.4079971,39.2976,-94.713898
AA,FLL,DFW,6.94,26.072599,-80.152702,32.896801,-97.038002
AA,BOS,LGA,6.87,42.36429977,-71.00520325,40.77719879,-73.87259674
AA,CLT,IAH,6.86,35.2140007019043,-80.94309997558594,29.984399795532227,-95.34140014648438
AA,PHL,BTV,6.85,39.87189865112305,-75.24109649658203,44.471900939899996,-73.15329742429999
AA,ORF,DFW,6.83,36.89459991455078,-76.20120239257812,32.896801,-97.038002
AA,LAS,DFW,6.82,36.08010101,-115.1520004,32.896801,-97.038002
AA,CLT,BDL,6.77,35.2140007019043,-80.94309997558594,41.9388999939,-72.68319702149999
AA,BUF,MIA,6.76,42.94049835,-78.73220062,25.79319953918457,-80.29060363769531
AA,CAE,DFW,6.75,33.93880081176758,-81.11949920654297,32.896801,-97.038002
AA,BOS,JFK,6.74,42.36429977,-71.00520325,40.63980103,-73.77890015
AA,CLT,PHX,6.73,35.2140007019043,-80.94309997558594,33.43429946899414,-112.01200103759766
AA,CLT,FLL,6.71,35.2140007019043,-80.94309997558594,26.072599,-80.152702
AA,ORD,RSW,6.69,41.9786,-87.9048,26.53619956970215,-81.75520324707031
AA,CLT,TPA,6.66,35.2140007019043,-80.94309997558594,27.975500106811523,-82.533203125
AA,MCO,PHX,6.64,28.429399490356445,-81.30899810791016,33.43429946899414,-112.01200103759766
AA,ORD,MTJ,6.6,41.9786,-87.9048,38.509799957300004,-107.893997192
AA,LAS,ORD,6.59,36.08010101,-115.1520004,41.9786,-87.9048
AA,ATL,MIA,6.58,33.6367,-84.428101,25.79319953918457,-80.29060363769531
AA,CLE,PHL,6.58,41.4117012024,-81.8498001099,39.87189865112305,-75.24109649658203
AA,CLT,DEN,6.56,35.2140007019043,-80.94309997558594,39.861698150635,-104.672996521
AA,PHL,ORD,6.55,39.87189865112305,-75.24109649658203,41.9786,-87.9048
AA,LAX,ANC,6.53,33.94250107,-118.4079971,61.174400329589844,-149.99600219726562
AA,LAX,DFW,6.53,33.94250107,-118.4079971,32.896801,-97.038002
AA,SEA,ORD,6.47,47.449001,-122.308998,41.9786,-87.9048
AA,PHX,BOS,6.47,33.43429946899414,-112.01200103759766,42.36429977,-71.00520325
AA,BWI,MIA,6.47,39.1754,-76.668297,25.79319953918457,-80.29060363769531
AA,LAX,RDU,6.44,33.94250107,-118.4079971,35.877601623535156,-78.7874984741211
AA,LGA,DCA,6.44,40.77719879,-73.87259674,38.8521,-77.037697
AA,CLT,SAT,6.4,35.2140007019043,-80.94309997558594,29.533700942993164,-98.46980285644531
AA,IAD,LAX,6.39,38.94449997,-77.45580292,33.94250107,-118.4079971
AA,PHL,BDL,6.38,39.87189865112305,-75.24109649658203,41.9388999939,-72.68319702149999
AA,PHX,DFW,6.37,33.43429946899414,-112.01200103759766,32.896801,-97.038002
AA,DFW,SBA,6.36,32.896801,-97.038002,34.42620087,-119.8399963
AA,RNO,DFW,6.32,39.49909973144531,-119.76799774169922,32.896801,-97.038002
AA,DCA,PHX,6.32,38.8521,-77.037697,33.43429946899414,-112.01200103759766
AA,STT,CLT,6.3,18.337299346923828,-64.97339630126953,35.2140007019043,-80.94309997558594
