Airline,Origin,Destination,Total_Delay,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
UA,EWR,BNA,14.9,40.692501068115234,-74.168701171875,36.1245002746582,-86.6781997680664
UA,IAH,ICT,14.86,29.984399795532227,-95.34140014648438,37.649899,-97.433098
UA,PSP,SFO,14.7,33.8297004699707,-116.50700378417969,37.61899948120117,-122.375
UA,ORD,FAT,14.67,41.9786,-87.9048,36.77619934082031,-119.71800231933594
UA,EWR,SJU,14.57,40.692501068115234,-74.168701171875,18.4393997192,-66.0018005371
UA,RDU,EWR,14.45,35.877601623535156,-78.7874984741211,40.692501068115234,-74.168701171875
UA,BGR,EWR,14.3,44.80739974975586,-68.8281021118164,40.692501068115234,-74.168701171875
UA,EWR,IAD,14.26,40.692501068115234,-74.168701171875,38.94449997,-77.45580292
UA,EWR,RDU,14.26,40.692501068115234,-74.168701171875,35.877601623535156,-78.7874984741211
UA,DTW,EWR,14.23,42.212398529052734,-83.35340118408203,40.692501068115234,-74.168701171875
UA,ORD,CID,13.86,41.9786,-87.9048,41.884700775146484,-91.71080017089844
UA,EWR,PBI,13.84,40.692501068115234,-74.168701171875,26.68320083618164,-80.09559631347656
UA,EGE,IAH,13.82,39.64260101,-106.9179993,29.984399795532227,-95.34140014648438
UA,SFO,OMA,13.81,37.61899948120117,-122.375,41.3032,-95.894096
UA,EUG,SFO,13.72,44.12459945678711,-123.21199798583984,37.61899948120117,-122.375
UA,DEN,BUR,13.71,39.861698150635,-104.672996521,34.20069885253906,-118.35900115966797
UA,BOS,EWR,13.71,42.36429977,-71.00520325,40.692501068115234,-74.168701171875
UA,ORD,BUF,13.71,41.9786,-87.9048,42.94049835,-78.73220062
UA,IAD,HNL,13.67,38.94449997,-77.45580292,21.32062,-157.924228
UA,SNA,SFO,13.65,33.67570114,-117.8679962,37.61899948120117,-122.375
UA,EWR,SEA,13.51,40.692501068115234,-74.168701171875,47.449001,-122.308998
UA,TUL,ORD,13.5,36.19839859008789,-95.88809967041016,41.9786,-87.9048
UA,EWR,MIA,13.47,40.692501068115234,-74.168701171875,25.79319953918457,-80.29060363769531
UA,SFO,MCI,13.41,37.61899948120117,-122.375,39.2976,-94.713898
